,group_name,intro,hidden,chatting,intergroup,little_game,mdt,random_pic,someone_say,technique,user
des,群组名称,群组介绍,是否隐藏,聊天插话,群间交互,小游戏,场景触发,随机图片,有人说,实用资料,用户系统
180707407,茉莉的小屋,学习小屋,1,1,1,1,1,1,1,1,1
231923125,显示屏交流群,？,1,1,1,1,1,1,1,1,1
931790051,mindustry_pvp交流群,pvp玩家の交流群,0,1,1,1,1,1,1,1,1
697981760,anuke的核心数据库,开放所有功能,0,1,1,1,1,1,1,1,1
904318344,mindustry_交流3群,mdt交流群,0,1,1,1,1,1,1,1,1
740835470,昼光的幽芒小屑服,幽芒服群,0,1,1,1,1,1,1,1,1
1049048067,小撒的像素工厂,小撒群,0,1,0,1,1,1,1,1,0
1007462452,《昶》工会总群,公会群,1,1,1,1,0,1,1,0,1
703264109,游戏分享群,-,1,1,1,1,1,1,1,1,1
1065669441,王者车队群,-,1,1,1,1,1,1,1,1,1
904158090,1组,-,1,1,1,1,1,1,1,1,1
608624512,enderspace,-,1,1,1,1,1,1,1,1,1